efta_number,dataset,classification,sensitivity,justification,removed_lines,added_lines,is_interesting,llm_reasoning
EFTA01595477,10,CONTENT_REDUCTION,HIGH,SUSPICIOUS,25,15,1,"The removal of specific text and the addition of seemingly unrelated content suggests an attempt to obscure or alter the original document's meaning, potentially hiding investigative connections or evidence scope."
EFTA00187022,9,CONTENT_REDUCTION,HIGH,SUSPICIOUS,20,15,1,"The removal and re-addition of text appears to be an attempt to conceal or alter the content of a subpoena, which could be relevant to the investigation."
EFTA01142533,9,CONTENT_REDUCTION,HIGH,SUSPICIOUS,21,12,1,"The removal of text appears to be an attempt to conceal or alter the content, potentially obscuring investigative connections or evidence scope."
EFTA01306114,10,CONTENT_REDUCTION,HIGH,SUSPICIOUS,18,36,1,"The removal of highly classified content, including a confidential identifier and a case number, suggests an attempt to obscure investigative connections or evidence scope."
EFTA01796826,10,EMAILS_REMOVED,HIGH,SUSPICIOUS,2,1,1,"The removal of specific email addresses, particularly the sender's address 'nadja2102@yahoo.com', suggests an attempt to conceal communication details relevant to the investigation."
EFTA01823819,10,EMAILS_REMOVED,HIGH,SUSPICIOUS,4,4,1,"The removal of specific email content, particularly the sender's name and email address, suggests an attempt to conceal communication details that could be relevant to the investigation."
EFTA01841350,10,EMAILS_REMOVED,HIGH,SUSPICIOUS,8,11,1,"The removal of specific email addresses and the alteration of sender and recipient names suggests an attempt to conceal communication records, which could be relevant to the investigation."
EFTA02311902,11,EMAILS_REMOVED,HIGH,SUSPICIOUS,2,3,1,"The removal of specific email addresses and the addition of a similar but incomplete string suggests an attempt to conceal communication details."
EFTA02473299,11,EMAILS_REMOVED,HIGH,SUSPICIOUS,2,2,1,"The removal of specific email addresses, particularly those that could be related to investigative targets or witnesses, suggests an attempt to conceal connections and evidence scope."
EFTA02540572,11,EMAILS_REMOVED,HIGH,SUSPICIOUS,1,3,1,"The removal of specific emails suggests an attempt to conceal relevant information or investigative leads, which is suspicious and warrants further investigation."
EFTA00497299,9,EMAILS_REMOVED,HIGH,SUSPICIOUS,2,5,1,"The removal of specific email addresses and the alteration of sender information suggests an attempt to conceal communication records, which is suspicious in a high-profile investigation like the Epstein case."
EFTA00642288,9,EMAILS_REMOVED,HIGH,SUSPICIOUS,4,4,1,"The removal of specific email addresses and the alteration of a URL suggests an attempt to conceal communication records or investigative leads."
EFTA00855269,9,EMAILS_REMOVED,HIGH,SUSPICIOUS,3,3,1,"The removal of email addresses and URLs suggests an attempt to conceal communication patterns or connections between individuals, which could be relevant to the investigation."
